lesson_id,chapter,lesson_question,linked_quiz_id,linked_quiz_question,source,note
1446ef07-5dbc-48de-9444-f610ccb6bcc0,고관절 근육 (굴곡/신전/외전/외회전),고관절 ROM과 장요근 Iliopsoas,1eed6137-9a30-4bff-8684-568713152dcc,Iliopsoas (장요근) 근육의 주 움직임(Action)은 무엇인가?,existing_csv_match,
5f1d201c-b516-4d24-a0af-0b5579e69c98,고관절 근육 (굴곡/신전/외전/외회전),"둔근 3형제: 대둔근, 중둔근, 소둔근",6953d637-18f6-4b1b-809b-4e4bed4f9d8c,대둔근(Gluteus maximus)의 Action에는 고관절 외회전(External ro,existing_csv_match,
4c9e3509-61ba-4f77-b395-1c11dcb46a20,고관절 근육 (굴곡/신전/외전/외회전),대퇴근막장근(TFL)과 고관절 외회전근군,16b5824e-580c-48d1-9817-c7edef143cae,중둔근(Gluteus medius)의 전방섬유(anterior fiber)는 고관절 외회전,existing_csv_match,
b06c084a-75b1-4595-9dd2-17c22fa69efc,동작과 근육,체간 동작과 관여근육,f522fae2-114c-419a-98b6-f5cc1cf8b505,체간 좌측 회전은 좌측 외복사근과 좌측 내복사근이 함께 수축하여 만들어진다.,manual_pm_designation,
51de8e50-7ddb-4ccd-8246-d81e80b23006,동작과 근육,어깨(견갑골 포함) 동작과 관여근육,e63b906c-8d3f-4b05-aa05-5f5e75bdef53,어깨관절을 머리 위로 완전히 들어올릴 때 견갑골이 함께 상방회전하지 않으면 발생할 수 있는,existing_csv_match,
65e389c1-5c67-4b50-8a1a-cf6ea3374a63,동작과 근육,고관절 동작과 관여근육,5a9f1aa4-d1b8-401e-ae50-ee78b7693e59,한 발로 서는 동작에서 골반을 수평으로 유지하는 데 가장 중요한 고관절 외전근은?,existing_csv_match,
d14ff12d-c048-4e1d-9eb7-e64a4dff4b2f,동작과 근육,무릎 동작과 관여근육,06fae99a-6f6d-4894-9e8d-ca2e2e0ad197,무릎을 살짝 굴곡시켜 완전 신전 잠김을 풀어주는 역할을 하는 근육은 슬와근이다.,existing_csv_match,
9ab047d4-3044-4afb-ba75-6415fb04abde,동작과 근육,발목 동작과 관여근육,d11c584f-dfc3-40f1-8f68-f323cfd84eda,발목 저측굴곡과 내번에 동시에 관여하며 발의 아치 지지에도 기여하는 근육은?,existing_csv_match,
96cb2453-7603-4e78-a0e1-ed2ae3b44c42,촉지란?,촉지(Palpation)란 무엇인가,057f9798-653d-42af-b4b8-847fbc12c22f,촉지(Palpation)의 정의에 포함되는 요소로 옳지 않은 것은?,existing_csv_match,
fd914a54-b62e-4778-9893-11cd164b719c,촉지란?,촉지를 위한 손 사용법,0d503aee-a53f-4d7c-b8e4-1e7a1a99cc5d,작은 뼈 구조물을 촉지할 때는 손바닥 전체를 사용하는 것이 손가락 끝을 사용하는 것보다 정,existing_csv_match,
8c50c339-9166-4fd6-9e45-f4a25929981f,촉지란?,촉지 시 주의사항,ff1287ad-65c9-42b0-b6a9-aa487babb1e1,촉지 시 구조물이 잘 느껴지지 않더라도 강하게 누르기보다 부드러운 압력으로 천천히 접근해야 한다.,manual_pm_designation,
a245f9f4-7dd9-48da-b937-85aeac3fe5b9,촉지란?,구조물별 질감 차이 구분하기,0d503aee-a53f-4d7c-b8e4-1e7a1a99cc5d,작은 뼈 구조물을 촉지할 때는 손바닥 전체를 사용하는 것이 손가락 끝을 사용하는 것보다 정,existing_csv_match,"CONFLICT: 모든 후보가 이미 다른 lesson에 배정됨 - rank1 중복 사용, PM 검토 필요"
9e244b2b-54bc-4dab-a1ff-420ab9cad8d0,근육 촉지,몸통 근육 촉지 — 승모근·외복사근·복직근,2e0c267f-fc13-4705-aeac-a6437f808f54,,new_15_insert,추가 후보 존재: 5b00c25b-a418-4ca6-8717-709c945ac4dc
32ba5c39-41f2-4021-be50-74263b09f938,근육 촉지,견갑대·상완 근육 촉지 — 회전근개·이두근/삼두근·광배근,b5fc77f9-2cf2-474a-9e12-9732e3bcfcae,,new_15_insert,추가 후보 존재: 5102735c-a7f2-4c60-8f96-f626c75aba25
ba86e4f5-676f-45e3-acce-3023206412cf,근육 촉지,대퇴 앞면 근육 촉지 — 대퇴사두근,b22ca435-030a-4490-bce9-c08db46c4127,대퇴사두근 중 무릎 안쪽 바로 위에 위치하며 무릎을 완전히 펼 때 특히 두드러지는 근육은?,existing_csv_match,
214b6381-910b-4150-acb2-c9ffa399bbd9,근육 촉지,대퇴 뒤·둔부 근육 촉지 — 슬괵근·대둔근/중둔근·TFL,4faf03da-10d5-4a29-9316-a52a317a8e51,다리를 옆으로 들어올리는 고관절 외전 동작에서 촉지로 확인할 수 있는 골반 앞가쪽의 근육은,existing_csv_match,
d62496f9-b48f-41ec-99e8-7f9f2454501b,근육 촉지,하퇴 근육 촉지 — 비복근·넙치근·전경골근,6f6f82eb-ee8a-4f0f-8ca8-75f2d708c05f,발목관절 배측굴곡(발끝 들어올리기) 동작에서 정강이 앞쪽 바깥에서 촉지되는 근육은?,existing_csv_match,
43e95e82-9d17-4f49-ab79-9c8404fa90cd,관절 움직임 용어,기본 움직임 용어: Flexion/Extension,fddad111-932a-49a7-a138-cbb9923d3a2e,Dorsiflexion(배측굴곡)은 발끝을 정강이 쪽으로 당기는 발목 움직임이다.,existing_csv_match,
e715285f-efd0-4845-b97c-0139a55ea6f3,관절 움직임 용어,기본 움직임 용어: Abduction/Adduction,1e00e62e-762d-4f2d-b78c-6b43eeeb2bcc,다음 중 관상면(Frontal Plane)에서 일어나는 움직임만으로 구성된 것은?,existing_csv_match,
ae836ab7-1ff8-43b3-8bbd-f13cd7113e78,관절 움직임 용어,"기본 움직임 용어: Rotation, Pronation/Supination",4e8591a9-21c0-4bfb-a516-67b9232c1c80,Pronation(회내)은 어깨 관절(Glenohumeral joint)에서 일어나는 움직,existing_csv_match,
21658ce2-c18f-4139-8150-1ffd63fed96f,관절 움직임 용어,"특수 움직임 용어: 발목, 견갑골",cf9295f8-4267-48c3-af8c-bc5a7821b106,다음 중 어깨 관절의 움직임이 아닌 것은?,existing_csv_match,
a79f5351-ff31-4b25-ba91-217141c3ff36,관절 움직임 용어,어깨 관절 vs 견갑골 움직임 구분,cf993ff5-9c67-4c79-a323-83b54f417dc8,다음은 Scapular(견갑골)의 어떤 움직임인가?,existing_csv_match,
cb10dd49-f987-4e54-bc29-c15b02e6325d,상완 근육,상완이두근과 상완삼두근,b6e46e58-b330-4e75-9fb8-b9c7cbf5696d,다음 근육의 이름과 움직임(Action)을 고르시오.,existing_csv_match,
621e62b2-6981-4b6e-b42b-86973fa22ccc,회전근개와 삼각근,회전근개 Rotator Cuff 4개 근육,56388e09-e4e8-4b50-933e-1b4791387263,대원근(Teres major)은 회전근개(Rotator cuff)에 포함된다.,existing_csv_match,
60605c11-b36f-4145-870f-b6c5e1d42d75,회전근개와 삼각근,삼각근 Deltoid,69029760-23d4-4bc5-a356-daac3f09ee11,,new_15_insert,
b431351b-eb4c-4ad9-ac54-7ee007a58f6f,복근과 코어,복벽 근육,f9ff847f-7130-4c02-8844-4a5c17b02e1f,"다음 복벽 근육 중 가장 깊은 층에 위치하며, Inner core의 구성원인 근육은?",existing_csv_match,
cf89358b-cdcd-4fa6-98fd-a16d6d1c3ae0,복근과 코어,Inner Core Muscles,67189e6a-3210-4faa-b16c-6c254ade238e,복직근(Rectus abdominis)은 Inner core muscle에 포함된다.,existing_csv_match,
ea627362-cc6a-4f7f-8e9b-23a364c0d612,해부학적 자세와 기본 자세,해부학적 자세 (Anatomical Position)란?,c1db5d69-3d46-475f-b0e3-5ea56102f214,해부학적 자세에서 손바닥은 몸의 앞쪽(전방)을 향한다.,existing_csv_match,
9254058f-7edd-4935-bf9f-c028508de574,해부학적 자세와 기본 자세,운동 기본 자세의 종류,6d1081ec-5dd0-45a5-a473-cac7316bdc24,다음 중 Prone position(복와위)에 대한 설명으로 올바른 것은?,existing_csv_match,
66a9092b-9cbc-4eff-9d94-db95e26783e1,해부학적 자세와 기본 자세,자세에 따른 관절 움직임 분석,75c325d6-0740-452a-9050-1bf653b4d81c,"다음은 어떤 자세이며, 고관절(Hip)의 움직임은 무엇인가?",existing_csv_match,
4717774f-49ed-447f-ab7c-dd2eb1b61323,자세평가 실습,자세평가 실습 절차 개요,3a97c527-0ef1-43cd-9d6a-e57d8d461201,자세평가 실습 시 촬영 조건에 대한 설명으로 가장 적절한 것은?,manual_pm_designation,
661c535f-6168-43b9-a38a-3625a1e62115,자세평가 실습,체크리스트 활용 시 주의점,52f65470-49cb-4bdc-8cb5-0db0fba8fdc8,자세평가 실습에서는 골반 전방경사 하나만 확인되면 척추전만 자세로 즉시 단정해도 된다.,manual_pm_designation,
ba24c93a-c03d-4f9b-b57f-e88d7a727676,고관절 내전근과 대퇴사두근,고관절 내전근군 6개,ecca2758-d04f-4858-ad05-c3ce5d9a60ea,Hip adductor (고관절 내전근)를 모두 고르시오.,existing_csv_match,
