source,chapter,question,content_type,source_page,image_url
unit7,촉지란?,촉지(Palpation)란 무엇인가,lesson,163,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p163.png
unit7,촉지란?,촉지를 위한 손 사용법,lesson,163,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p163.png
unit7,촉지란?,촉지 시 주의사항,lesson,164,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p164.png
unit7,촉지란?,구조물별 질감 차이 구분하기,lesson,165,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p165.png
unit7,촉지란?,촉지 시 구조물이 잘 느껴지지 않더라도 강하게 누르기보다 부드러운 압력으로 천천히 접근해야 한다.,quiz,164,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p164.png
unit7,촉지란?,근육 조직의 촉지 시 질감에 대한 설명으로 옳은 것은?,quiz,165,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p165.png
unit7,촉지란?,촉지(Palpation)의 정의에 포함되는 요소로 옳지 않은 것은?,exam,163,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p163.png
unit7,촉지란?,작은 뼈 구조물을 촉지할 때는 손바닥 전체를 사용하는 것이 손가락 끝을 사용하는 것보다 정확하다.,exam,163,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p163.png
unit7,촉지란?,회원이 촉지 도중 통증이나 불편함을 호소했을 때 지도자가 취해야 할 가장 적절한 대응은?,exam,164,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p164.png
unit7,뼈 촉지,상지 및 견갑골 촉지 랜드마크,lesson,167,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p167.png
unit7,뼈 촉지,몸통 및 척추 촉지 랜드마크,lesson,168,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p168.png
unit7,뼈 촉지,골반 촉지 랜드마크,lesson,170,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p170.png
unit7,뼈 촉지,하지(무릎~발목) 촉지 랜드마크,lesson,170,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p170.png
unit7,뼈 촉지,"제7경추는 목을 숙였을 때 목 뒤에서 가장 크게 튀어나오는 뼈로, 척추 분절을 셀 때 기준점으로 활용된다.",quiz,168,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p168.png
unit7,뼈 촉지,슬괵근의 기시가 되는 골반 뼈 랜드마크는?,quiz,170,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p170.png
unit7,뼈 촉지,AIIS는 ASIS보다 위쪽에 위치하며 대퇴사두근 중 대퇴직근의 기시가 되는 지점이다.,quiz,170,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p170.png
unit7,뼈 촉지,다음 중 골반 뒤쪽에 위치하며 자세평가에서 좌우 높이 비교에 활용되는 랜드마크는?,exam,170,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p170.png
unit7,뼈 촉지,장골능(Iliac crest)은 손끝보다 손바닥 전체로 촉지하는 것이 더 정확하다.,exam,166,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p166.png
unit7,뼈 촉지,무릎 아래에서 슬개건이 부착되는 뼈 돌출부의 이름은?,exam,170,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p170.png
unit7,뼈 촉지,제4요추는 양쪽 장골능을 잇는 가상의 선이 지나가는 척추 분절이다.,exam,168,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p168.png
unit7,근육 촉지,몸통 근육 촉지 — 승모근·외복사근·복직근,lesson,173,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p173.png
unit7,근육 촉지,견갑대·상완 근육 촉지 — 회전근개·이두근/삼두근·광배근,lesson,177,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p177.png
unit7,근육 촉지,대퇴 앞면 근육 촉지 — 대퇴사두근,lesson,181,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p181.png
unit7,근육 촉지,대퇴 뒤·둔부 근육 촉지 — 슬괵근·대둔근/중둔근·TFL,lesson,184,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p184.png
unit7,근육 촉지,하퇴 근육 촉지 — 비복근·넙치근·전경골근,lesson,185,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p185.png
unit7,근육 촉지,극하근을 촉지할 때는 어깨관절을 외회전시킨 상태에서 팔꿈치를 위로 올리면 더 쉽게 찾을 수 있다.,quiz,177,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p177.png
unit7,근육 촉지,무릎을 굽힌 상태에서 까치발을 들었을 때 비복근보다 더 잘 느껴지는 종아리 근육은?,quiz,185,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p185.png
unit7,근육 촉지,대둔근은 한 발로 서는 동작에서 골반 안정화를 위해 가장 뚜렷하게 수축하는 근육이다.,quiz,184,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p184.png
unit7,근육 촉지,대퇴사두근 중 무릎 안쪽 바로 위에 위치하며 무릎을 완전히 펼 때 특히 두드러지는 근육은?,exam,181,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p181.png
unit7,근육 촉지,"슬괵근 중 대퇴이두근은 넙다리 안쪽에, 반건양근·반막양근은 넙다리 바깥쪽에 위치한다.",exam,182,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p182.png
unit7,근육 촉지,다리를 옆으로 들어올리는 고관절 외전 동작에서 촉지로 확인할 수 있는 골반 앞가쪽의 근육은?,exam,184,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p184.png
unit7,근육 촉지,근육을 촉지하기 전에는 먼저 강의자료를 기준으로 기시·정지점을 파악하는 것이 권장된다.,exam,172,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p172.png
unit7,근육 촉지,발목관절 배측굴곡(발끝 들어올리기) 동작에서 정강이 앞쪽 바깥에서 촉지되는 근육은?,exam,185,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p185.png
unit7,동작과 근육,체간 동작과 관여근육,lesson,188,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p188.png
unit7,동작과 근육,어깨(견갑골 포함) 동작과 관여근육,lesson,191,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p191.png
unit7,동작과 근육,고관절 동작과 관여근육,lesson,193,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p193.png
unit7,동작과 근육,무릎 동작과 관여근육,lesson,195,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p195.png
unit7,동작과 근육,발목 동작과 관여근육,lesson,196,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p196.png
unit7,동작과 근육,체간 좌측 회전은 좌측 외복사근과 좌측 내복사근이 함께 수축하여 만들어진다.,quiz,188,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p188.png
unit7,동작과 근육,한 발로 서는 동작에서 골반을 수평으로 유지하는 데 가장 중요한 고관절 외전근은?,quiz,193,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p193.png
unit7,동작과 근육,무릎을 살짝 굴곡시켜 완전 신전 잠김을 풀어주는 역할을 하는 근육은 슬와근이다.,quiz,195,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p195.png
unit7,동작과 근육,어깨관절을 머리 위로 완전히 들어올릴 때 견갑골이 함께 상방회전하지 않으면 발생할 수 있는 문제는?,exam,191,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p191.png
unit7,동작과 근육,대퇴직근은 무릎관절만 지나가는 단관절근이다.,exam,195,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p195.png
unit7,동작과 근육,발목 저측굴곡과 내번에 동시에 관여하며 발의 아치 지지에도 기여하는 근육은?,exam,196,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p196.png
unit7,동작과 근육,고관절 신전근인 대둔근이 약화되면 걷기 동작에서 고관절 신전 기능이 다른 근육으로 보상될 수 있다.,exam,193,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p193.png
unit7,동작과 근육,체간 신전 동작에서 척추기립근과 함께 주로 작용하는 심부 근육은?,exam,188,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p188.png
unit8,자세의 이해,자세(Posture)란 무엇인가,lesson,204,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p204.png
unit8,자세의 이해,부적절한 자세와 근골격계 통증의 관계,lesson,202,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p202.png
unit8,자세의 이해,자세에 영향을 미치는 요인,lesson,203,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p203.png
unit8,자세의 이해,자세평가의 목적과 시기,lesson,205,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p205.png
unit8,자세의 이해,부적절한 자세를 가진 사람은 반드시 근골격계 통증을 겪는다.,quiz,202,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p202.png
unit8,자세의 이해,이상적인 자세(Ideal posture)에 대한 설명으로 가장 적절한 것은?,quiz,204,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p204.png
unit8,자세의 이해,자세평가를 실시하는 목적으로 옳지 않은 것은?,exam,205,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p205.png
unit8,자세의 이해,"자세에 영향을 미치는 요인에는 생활습관, 근육 불균형, 구조적 요인뿐 아니라 심리·정서적 요인도 포함된다.",exam,203,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p203.png
unit8,자세의 이해,지도자가 회원의 자세를 평가할 때 취해야 할 가장 적절한 태도는?,exam,202,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p202.png
unit8,자세 평가 방법,이상적 정렬(Normal Posture) 기준,lesson,207,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p207.png
unit8,자세 평가 방법,Kendall 4체형 개관 및 척추전만·후만-전만 자세,lesson,211,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p211.png
unit8,자세 평가 방법,Kendall 편평등·굽은등 자세,lesson,213,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p213.png
unit8,자세 평가 방법,골반 위치 평가 — 후면 정렬,lesson,216,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p216.png
unit8,자세 평가 방법,"하지 정렬 평가 — 내반슬/외반슬, 아치 평가",lesson,219,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p219.png
unit8,자세 평가 방법,Kendall의 4가지 대표 자세 중 후만-전만 자세(Kyphosis-Lordosis)에서는 흉추가 과후만되고 골반은 후방경사된다.,quiz,211,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p211.png
unit8,자세 평가 방법,Kendall 4체형 중 요추가 굴곡되어 일직선에 가깝고 골반이 후방경사되는 자세는?,quiz,212,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p212.png
unit8,자세 평가 방법,ASIS와 PSIS가 이루는 각도가 0~15도 범위 안에 있으면 골반 좌우 수평 정렬이 정상 범위로 평가된다.,quiz,216,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p216.png
unit8,자세 평가 방법,다음 중 굽은등 자세(Sway-back)의 특징으로 옳은 것은?,exam,213,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p213.png
unit8,자세 평가 방법,굽은등 자세(Sway-back)는 어깨가 앞으로 말리는 라운드숄더와 동일한 개념이다.,exam,213,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p213.png
unit8,자세 평가 방법,Navicular drop test에서 양성(과도한 회내 시사)으로 판단하는 기준은?,exam,219,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p219.png
unit8,자세 평가 방법,구조적 평발은 체중을 싣지 않은 상태(NWB)에서도 아치가 낮게 유지되는 경우를 말한다.,exam,219,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p219.png
unit8,자세 평가 방법,이상적 정렬(Normal posture)에서 골반 중립을 판단하는 기준으로 옳은 것은?,exam,207,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p207.png
unit8,자세평가 실습,자세평가 실습 절차 개요,lesson,221,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p221.png
unit8,자세평가 실습,체크리스트 활용 시 주의점,lesson,221,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p221.png
unit8,자세평가 실습,자세평가 실습에서는 골반 전방경사 하나만 확인되면 척추전만 자세로 즉시 단정해도 된다.,quiz,221,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p221.png
unit8,자세평가 실습,자세평가 실습 시 촬영 조건에 대한 설명으로 가장 적절한 것은?,exam,221,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p221.png
unit8,자세평가 실습,자세평가 실습 결과는 회원에게 '문제'가 아니라 '현재 상태'로 전달하는 것이 권장된다.,exam,221,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p221.png
bony_landmark,C2_CH4,하지골의 Bony Landmark,lesson,74,https://sbketzgadjvzedbayesc.supabase.co/storage/v1/object/public/content-images/iipa/anatomy/p74.png
