id,course,chapter,question,exam_years,star_rating,matched_terms_기출1,matched_terms_기출2
ea627362-cc6a-4f7f-8e9b-23a364c0d612,해부학 기초,해부학적 자세와 기본 자세,해부학적 자세 (Anatomical Position)란?,null,1,,
9254058f-7edd-4935-bf9f-c028508de574,해부학 기초,해부학적 자세와 기본 자세,운동 기본 자세의 종류,null,1,,
66a9092b-9cbc-4eff-9d94-db95e26783e1,해부학 기초,해부학적 자세와 기본 자세,자세에 따른 관절 움직임 분석,null,1,,
c1db5d69-3d46-475f-b0e3-5ea56102f214,해부학 기초,해부학적 자세와 기본 자세,해부학적 자세에서 손바닥은 몸의 앞쪽(전방)을 향한다.,null,1,,
33cfc93d-9bc3-4dfb-ab5b-b5edbf4070df,해부학 기초,해부학적 자세와 기본 자세,Quadruped position(네발기기 자세)에서 고관절은 신전(Extension) 상태이다.,"[""기출1"",""기출2""]",5,"Quadruped,position","Quadruped,position"
a90d1bb7-b052-4e17-8bc3-45944c18a958,해부학 기초,해부학적 자세와 기본 자세,다음 중 해부학적 자세에 대한 설명으로 올바른 것은?,null,1,,
48b4130b-f574-4276-b36c-edeb4c4a7d9f,해부학 기초,해부학적 자세와 기본 자세,해부학적 자세(Anatomical Position)에 대한 설명으로 옳은 것을 모두 포함한 보기는?,null,1,,
75c325d6-0740-452a-9050-1bf653b4d81c,해부학 기초,해부학적 자세와 기본 자세,"다음은 어떤 자세이며, 고관절(Hip)의 움직임은 무엇인가?",null,1,,
6d1081ec-5dd0-45a5-a473-cac7316bdc24,해부학 기초,해부학적 자세와 기본 자세,다음 중 Prone position(복와위)에 대한 설명으로 올바른 것은?,"[""기출1"",""기출2""]",5,position,position
25666a63-4303-4f27-8243-9293c75f0e67,해부학 기초,해부학적 면과 축,해부학적 면 (Anatomical Planes)의 개념,null,1,,
bb5c925f-d822-45d5-b2c0-615d64f17c07,해부학 기초,해부학적 면과 축,시상면 (Sagittal Plane),"[""기출1"",""기출2""]",5,"Sagittal,시상면","Sagittal,시상면"
398c0970-c1f1-4d56-8aa3-d81d73bd40b5,해부학 기초,해부학적 면과 축,관상면/전두면 (Frontal/Coronal Plane),"[""기출1"",""기출2""]",5,"Coronal,Frontal,관상면,전두면","Coronal,Frontal,관상면"
73b49e2f-d3d2-4e10-9739-7dff593b46db,해부학 기초,해부학적 면과 축,횡단면/수평면 (Transverse/Horizontal Plane),"[""기출1"",""기출2""]",5,"Transverse,횡단면","Transverse,수평면"
c2ff4fad-e808-428f-9db1-1c3bdc4a6893,해부학 기초,해부학적 면과 축,Frontal Plane(전두면)과 Coronal Plane(관상면)은 서로 다른 면이다.,"[""기출1"",""기출2""]",5,"Coronal,Frontal,관상면,전두면","Coronal,Frontal,관상면"
6f8563d0-0f15-4c72-a370-d5fd30dc0ff7,해부학 기초,해부학적 면과 축,팔꿈치를 구부리는 Elbow Flexion 동작은 어떤 면에서 일어나는 움직임인가?,"[""기출1"",""기출2""]",5,Elbow,"Elbow,면에서"
af4f7f5f-0189-46a5-8e51-4eeb9c7a184d,해부학 기초,해부학적 면과 축,어깨를 옆으로 들어올리는 Shoulder Abduction은 어떤 면에서 일어나는 움직임인가?,"[""기출2""]",3,,면에서
521fdfb2-927a-4a48-8374-4e62c022c808,해부학 기초,해부학적 면과 축,다음은 어떤 면을 나타낸 그림인가?,null,1,,
f752ab52-0001-4184-847f-b80b8574f769,해부학 기초,해부학적 면과 축,다음은 어떤 면에서 신체를 관찰하는 것인가?,"[""기출2""]",3,,"관찰하는,면에서,신체를"
3374a02c-725d-4d43-8fbc-797c636442ce,해부학 기초,해부학적 면과 축,다음 중 횡단면(Transverse Plane)에서 일어나는 움직임을 모두 포함한 것은?,"[""기출1"",""기출2""]",5,"Transverse,횡단면",Transverse
ec4d812c-a27d-4af9-9c2e-354918b2381c,해부학 기초,해부학적 면과 축,다음 각 면과 움직임의 연결이 올바른 것은?,null,1,,
b451ca1c-5306-449a-94b3-a9e0e5dbcc96,해부학 기초,해부학적 방향 용어,"기본 방향 용어: Superior/Inferior, Anterior/Posterior",null,1,,
640fa35f-3c2f-4801-a68a-e4bcb0d64c22,해부학 기초,해부학적 방향 용어,"기본 방향 용어: Medial/Lateral, Proximal/Distal",null,1,,
8d337f83-f9b5-4163-8945-755b3479c276,해부학 기초,해부학적 방향 용어,"추가 방향 용어: Superficial/Deep, Ipsilateral/Contralateral",null,1,,
0a1896a6-6406-406a-b11a-0d6f944ee574,해부학 기초,해부학적 방향 용어,경골(Tibia)은 비골(Fibula)보다 Lateral(외측)에 위치한다.,"[""기출1"",""기출2""]",5,"Fibula,Tibia","Fibula,Tibia"
686521b1-b59f-48a3-b39a-783a200bf534,해부학 기초,해부학적 방향 용어,어깨는 손목에 비해 어떤 방향에 위치하는가?,null,1,,
ab45e298-606b-4e80-b11a-a79bc7023037,해부학 기초,해부학적 방향 용어,다음 중 방향 용어의 설명이 올바른 것은?,null,1,,
624ace2e-b046-42ef-906a-67baa5d2cdb0,해부학 기초,해부학적 방향 용어,복횡근(Transverse abdominis)은 복직근(Rectus abdominis)에 비해 어떤 위치에 있는가?,"[""기출1"",""기출2""]",5,"Rectus,Transverse,abdominis,복직근,복횡근","Rectus,Transverse,abdominis,복횡근"
ae6bd6ab-ffea-4b1d-8199-4b15e0e50d53,해부학 기초,해부학적 방향 용어,해부학적 자세에서 엄지손가락(Thumb)은 새끼손가락(Little finger)에 비해 어떤 방향에 위치하는가?,null,1,,
43e95e82-9d17-4f49-ab79-9c8404fa90cd,해부학 기초,관절 움직임 용어,기본 움직임 용어: Flexion/Extension,null,1,,
e715285f-efd0-4845-b97c-0139a55ea6f3,해부학 기초,관절 움직임 용어,기본 움직임 용어: Abduction/Adduction,null,1,,
ae836ab7-1ff8-43b3-8bbd-f13cd7113e78,해부학 기초,관절 움직임 용어,"기본 움직임 용어: Rotation, Pronation/Supination","[""기출1""]",3,Pronation,
21658ce2-c18f-4139-8150-1ffd63fed96f,해부학 기초,관절 움직임 용어,"특수 움직임 용어: 발목, 견갑골",null,1,,
a79f5351-ff31-4b25-ba91-217141c3ff36,해부학 기초,관절 움직임 용어,어깨 관절 vs 견갑골 움직임 구분,null,1,,
fddad111-932a-49a7-a138-cbb9923d3a2e,해부학 기초,관절 움직임 용어,Dorsiflexion(배측굴곡)은 발끝을 정강이 쪽으로 당기는 발목 움직임이다.,"[""기출1"",""기출2""]",5,"Dorsiflexion,배측굴곡",배측굴곡
629c3462-a703-404a-81e8-056025d490d1,해부학 기초,관절 움직임 용어,견갑골을 뒤로 당겨 날개뼈를 모으는 움직임은?,null,1,,
4e8591a9-21c0-4bfb-a516-67b9232c1c80,해부학 기초,관절 움직임 용어,Pronation(회내)은 어깨 관절(Glenohumeral joint)에서 일어나는 움직임이다.,"[""기출1"",""기출2""]",5,"Glenohumeral,Pronation",Glenohumeral
47efc914-d8ab-44af-8117-2d118768bec9,해부학 기초,관절 움직임 용어,다음 중 어깨 관절의 움직임이 아닌 것은?,null,1,,
cf9295f8-4267-48c3-af8c-bc5a7821b106,해부학 기초,관절 움직임 용어,다음 중 어깨 관절의 움직임이 아닌 것은?,null,1,,
cf993ff5-9c67-4c79-a323-83b54f417dc8,해부학 기초,관절 움직임 용어,다음은 Scapular(견갑골)의 어떤 움직임인가?,"[""기출1"",""기출2""]",5,Scapular,Scapular
1e00e62e-762d-4f2d-b78c-6b43eeeb2bcc,해부학 기초,관절 움직임 용어,다음 중 관상면(Frontal Plane)에서 일어나는 움직임만으로 구성된 것은?,"[""기출1"",""기출2""]",5,"Frontal,관상면","Frontal,관상면"
04901c2c-04c0-4b74-b750-318faf624270,해부학 기초,관절 움직임 용어,발목에서 발바닥이 안쪽(Medial)을 향하게 기울이는 움직임은?,null,1,,
74b861b0-af80-4640-9780-222e8909bf2f,골격계,뼈의 기초와 분류,뼈의 기능,null,1,,
30a0a087-3aed-4dfe-9c1a-1344980e1026,골격계,뼈의 기초와 분류,뼈의 형태에 따른 분류,null,1,,
275f0e91-27f6-4cd6-8414-74c785f2f19b,골격계,뼈의 기초와 분류,축골격(Axial)과 사지골격(Appendicular),"[""기출1""]",3,"Appendicular,Axial,사지골격,축골격",
1505f2f0-48df-469c-b19c-b4e27703f355,골격계,뼈의 기초와 분류,견갑골(Scapula)은 편평골(Flat bone)에 속한다.,null,1,,
e262e4fc-cfaf-40ac-9dbe-a054086e78db,골격계,뼈의 기초와 분류,다음 중 Long bone(장골)에 해당하는 것은?,null,1,,
c3e71907-931f-41bd-ab21-b5c063696b49,골격계,뼈의 기초와 분류,다음 뼈의 분류에서 사지를 뭐라고 부르는가?,"[""기출1""]",3,"뭐라고,분류에서,사지를",
24cdc368-a9fc-43a8-a3c7-a165b2400cd3,골격계,뼈의 기초와 분류,다음 중 뼈의 형태 분류와 그 예시가 올바르게 연결된 것은?,null,1,,
d2750d11-04b9-4175-9c30-0bcb0f71e3a2,골격계,뼈의 기초와 분류,슬개골(Patella)은 인체 최대의 종자골(Sesamoid bone)이다.,"[""기출1"",""기출2""]",5,"Patella,슬개골","Patella,슬개골"
7ac5f3aa-95bf-4d77-8178-ec93b711397a,골격계,척추,척추의 구성과 개수,null,1,,
797a745b-348b-4e3d-9e80-f5c1e51f722d,골격계,척추,척추의 만곡 (Spinal Curves),null,1,,
38a0ec16-3223-4890-b4cf-32e6ad593325,골격계,척추,특수 경추: C1(Atlas)과 C2(Axis),null,1,,
aa679129-a4be-46d9-aa03-67c8d395cca2,골격계,척추,흉추(Thoracic spine)는 12개이다.,"[""기출1""]",3,"Thoracic,spine",
8bdc7355-5097-4170-8d2c-b4d723f0dfc1,골격계,척추,요추(Lumbar spine)의 만곡은?,"[""기출1""]",3,"Lumbar,spine",
177fda4f-0fd8-49ea-a053-2dd4538fc325,골격계,척추,"경추, 흉추, 요추의 개수를 올바르게 나열한 것은?","[""기출1""]",3,"개수를,요추의",
684b88f0-b1bb-4975-bc6c-8a07b7d55f68,골격계,척추,다음 중 하이라이트 된 뼈의 이름은?,null,1,,
7435dfcc-58bd-45ff-bd83-80c864601860,골격계,척추,다음 중 하이라이트 된 뼈의 이름은?,null,1,,
4f99649c-94a5-4531-a812-349209e96238,골격계,상지골,상지대와 자유상지골,null,1,,
cb3d31ee-f1a7-453a-ac76-0710d5b10e60,골격계,상지골,상지골의 Bony Landmark,null,1,,
fbebcd05-eee9-404b-bdee-1ef57239ab10,골격계,상지골,흉골과 흉곽,null,1,,
cc8acc04-9eff-4fa7-9129-8dd5e0903787,골격계,상지골,해부학적 자세에서 요골(Radius)은 전완의 안쪽(Medial)에 위치한다.,"[""기출1"",""기출2""]",5,Radius,Radius
5e5c7a1b-75dc-40ad-b958-a7f7d40648e8,골격계,상지골,쇄골(Clavicle)이 연결하는 두 뼈는?,"[""기출1"",""기출2""]",5,Clavicle,Clavicle
