id,chapter_id,chapter_title,course_title,order_index,content_type,question,explanation
ea627362-cc6a-4f7f-8e9b-23a364c0d612,46765992-863d-4509-b773-c25d5595c18f,해부학적 자세와 기본 자세,해부학 기초,1,lesson,해부학적 자세 (Anatomical Position)란?,"해부학적 자세(Anatomical Position)는 인체의 위치와 방향을 설명하기 위한 표준 기준 자세입니다.

조건:
① 똑바로 선다 (직립)
② 정면을 바라본다
③ 양팔은 몸통 옆에 자연스럽게 내린다
④ 손바닥은 앞(전방)을 향한다 — 엄지가 바깥쪽
⑤ 양 발은 약간 벌려 평행하게 놓는다

이 자세를 기준으로 모든 해부학적 방향, 면, 움직임을 설명합니다."
9254058f-7edd-4935-bf9f-c028508de574,46765992-863d-4509-b773-c25d5595c18f,해부학적 자세와 기본 자세,해부학 기초,2,lesson,운동 기본 자세의 종류,"필라테스와 운동에서 자주 사용하는 기본 자세들입니다:

① Supine position (앙와위/바로 누운 자세): 등을 바닥에 대고 누운 자세
② Prone position (복와위/엎드린 자세): 배를 바닥에 대고 엎드린 자세
③ Side-lying position (측와위/옆으로 누운 자세): 옆으로 누운 자세
④ Quadruped position (네발기기 자세): 양 손과 양 무릎을 바닥에 짚은 자세
⑤ Kneeling position (무릎 꿇기 자세): 무릎을 꿇고 상체를 세운 자세
⑥ Standing position (기립 자세): 서 있는 자세"
66a9092b-9cbc-4eff-9d94-db95e26783e1,46765992-863d-4509-b773-c25d5595c18f,해부학적 자세와 기본 자세,해부학 기초,3,lesson,자세에 따른 관절 움직임 분석,"각 운동 자세에서 주요 관절이 어떤 위치에 있는지 파악하는 것은 동작 분석의 기초입니다.

Quadruped position(네발기기 자세):
• 견관절(Shoulder): 약 90° 굴곡(Flexion)
• 주관절(Elbow): 신전(Extension) — 팔을 곧게 편 상태
• 고관절(Hip): 약 90° 굴곡(Flexion)
• 슬관절(Knee): 약 90° 굴곡(Flexion)"
c1db5d69-3d46-475f-b0e3-5ea56102f214,46765992-863d-4509-b773-c25d5595c18f,해부학적 자세와 기본 자세,해부학 기초,4,quiz,해부학적 자세에서 손바닥은 몸의 앞쪽(전방)을 향한다.,"해부학적 자세에서 손바닥은 반드시 앞(전방)을 향합니다. 이는 전완의 회외(supination) 상태를 기준으로 잡기 위함입니다. 일상에서 팔을 자연스럽게 내리면 손바닥이 몸쪽을 향하지만, 해부학적 자세에서는 앞을 향해야 합니다."
33cfc93d-9bc3-4dfb-ab5b-b5edbf4070df,46765992-863d-4509-b773-c25d5595c18f,해부학적 자세와 기본 자세,해부학 기초,5,quiz,Quadruped position(네발기기 자세)에서 고관절은 신전(Extension) 상태이다.,"Quadruped position에서 고관절은 약 90° 굴곡(Flexion) 상태입니다. 엉덩이가 무릎 위에 위치하므로 고관절이 접혀 있는 상태입니다. 신전(Extension)은 고관절이 펴지는 것으로, Kneeling이나 Standing 자세에서의 상태입니다."
a90d1bb7-b052-4e17-8bc3-45944c18a958,46765992-863d-4509-b773-c25d5595c18f,해부학적 자세와 기본 자세,해부학 기초,6,quiz,다음 중 해부학적 자세에 대한 설명으로 올바른 것은?,"해부학적 자세는 직립, 정면 주시, 양팔은 몸통 옆에 자연스럽게 내리고, 손바닥은 앞(전방)을 향하며, 양 발은 약간 벌려 평행하게 놓은 자세입니다."
48b4130b-f574-4276-b36c-edeb4c4a7d9f,46765992-863d-4509-b773-c25d5595c18f,해부학적 자세와 기본 자세,해부학 기초,7,exam,해부학적 자세(Anatomical Position)에 대한 설명으로 옳은 것을 모두 포함한 보기는?,"해부학적 자세의 조건: ① 직립 ② 정면 주시 ③ 양팔 몸통 옆 ④ 손바닥 전방 ⑤ 양 발 약간 벌려 평행. 보기 2는 손바닥이 몸쪽(오답), 보기 3은 손바닥이 뒤(오답), 보기 4는 옆을 봄(오답)."
75c325d6-0740-452a-9050-1bf653b4d81c,46765992-863d-4509-b773-c25d5595c18f,해부학적 자세와 기본 자세,해부학 기초,8,exam,"다음은 어떤 자세이며, 고관절(Hip)의 움직임은 무엇인가?",이미지에서 양 손과 양 무릎이 바닥에 있으므로 Quadruped position(네발기기 자세)입니다. 이 자세에서 고관절은 약 90° 굴곡(Flexion) 상태입니다. Kneeling은 무릎만 바닥에 닿고 상체가 직립한 자세입니다.
6d1081ec-5dd0-45a5-a473-cac7316bdc24,46765992-863d-4509-b773-c25d5595c18f,해부학적 자세와 기본 자세,해부학 기초,9,exam,다음 중 Prone position(복와위)에 대한 설명으로 올바른 것은?,Prone = 엎드린(복와위). Supine = 바로 누운(앙와위). Side-lying = 옆으로 누운(측와위). Kneeling = 무릎 꿇기.
25666a63-4303-4f27-8243-9293c75f0e67,61e82564-b076-4771-8503-f8f71202a376,해부학적 면과 축,해부학 기초,1,lesson,해부학적 면 (Anatomical Planes)의 개념,"해부학적 면(Plane)은 인체를 가상으로 나누는 평평한 면입니다. 3가지 기본 면이 있습니다:

① Sagittal Plane (시상면): 인체를 좌우로 나누는 면
② Frontal/Coronal Plane (전두면/관상면): 인체를 전후로 나누는 면
③ Transverse/Horizontal Plane (횡단면/수평면): 인체를 상하로 나누는 면

각 면에서 특정 움직임이 일어납니다."
